----------- coverage: platform win32, python 3.8.1-final-0 -----------
Name                                                                                Stmts   Miss  Cover
survol\sources_types\sqlite\table\sqlite_table_fields.py                               39     39     0%
survol\sources_types\sqlite\view\__init__.py                                           11      3    73%
survol\sources_types\sqlserver\__init__.py                                             16      8    50%
survol\sources_types\sqlserver\dsn\__init__.py                                         11      2    82%
survol\sources_types\sqlserver\dsn\sqlserver_dsn_processes.py                          49     49     0%
survol\sources_types\sqlserver\dsn\sqlserver_dsn_queries.py                            43     43     0%
survol\sources_types\sqlserver\dsn\sqlserver_dsn_sessions.py                           55     55     0%
survol\sources_types\sqlserver\query\__init__.py                                       43     26    40%
survol\sources_types\sqlserver\query\sqlserver_query_dependencies.py                   22     22     0%
survol\sources_types\sqlserver\schema\__init__.py                                      13      5    62%
survol\sources_types\sqlserver\session\__init__.py                                     40     25    38%
survol\sources_types\sqlserver\session\sqlserver_session_informations.py               69     69     0%
survol\sources_types\sqlserver\table\__init__.py                                       16      6    62%
survol\sources_types\sqlserver\view\__init__.py                                        14      6    57%
survol\sources_types\win32\__init__.py                                                  2      0   100%
survol\sources_types\win32\enumerate_Win32_Product.py                                  55     14    75%
survol\sources_types\win32\enumerate_Win32_Service.py                                  13      1    92%
survol\sources_types\win32\enumerate_Win32_UserAccount.py                              18      1    94%
survol\sources_types\win32\enumerate_com_type_lib.py                                   27      0   100%
survol\sources_types\win32\enumerate_top_level_windows.py                              45      0   100%
survol\sources_types\win32\ip_config.py                                                65      0   100%
survol\sources_types\win32\resource\__init__.py                                        79     29    63%
survol\sources_types\win32\tcp_sockets_windows.py                                      53      2    96%
survol\sources_types\win32\win32_domain_machines.py                                    43     29    33%
survol\sources_types\win32\win32_local_groups.py                                       48      2    96%
survol\sources_types\win32\windows_network_devices.py                                  41      2    95%
survol\sparql.py                                                                       86     12    86%
survol\sparql_preload_all.py                                                           24     24     0%
survol\sparql_preload_survol.py                                                        21     21     0%
survol\sparql_preload_wbem.py                                                           0      0   100%
survol\sparql_preload_wmi.py                                                           16     16     0%
survol\win_resource_to_mime.py                                                          0      0   100%
-------------------------------------------------------------------------------------------------------
TOTAL                                                                               29812  14762    50%
